Regione;Età;Totale Maschi;Totale Femmine
Piemonte;0;14055;13122
Piemonte;1;14174;13661
Piemonte;2;14720;14273
Piemonte;3;15680;15180
Piemonte;4;16393;15670
Piemonte;5;17125;15713
Piemonte;6;17440;16730
Piemonte;7;18071;16980
Piemonte;8;18775;17628
Piemonte;9;19108;17619
Piemonte;10;19396;18202
Piemonte;11;19855;18773
Piemonte;12;20131;18821
Piemonte;13;20042;18925
Piemonte;14;19773;18601
Piemonte;15;19722;18467
Piemonte;16;19790;18378
Piemonte;17;19790;18534
Piemonte;18;19339;18493
Piemonte;19;19699;18457
Piemonte;20;20703;19064
Piemonte;21;20776;18618
Piemonte;22;21397;18877
Piemonte;23;20941;19158
Piemonte;24;20890;18847
Piemonte;25;20740;18947
Piemonte;26;20800;19328
Piemonte;27;21112;19643
Piemonte;28;21738;20443
Piemonte;29;21849;20630
Piemonte;30;22629;21084
Piemonte;31;22073;21018
Piemonte;32;22662;21591
Piemonte;33;21840;21428
Piemonte;34;22357;21583
Piemonte;35;22779;22405
Piemonte;36;22736;22669
Piemonte;37;23546;23287
Piemonte;38;24415;24267
Piemonte;39;24404;24524
Piemonte;40;25095;25121
Piemonte;41;25868;25609
Piemonte;42;27466;27590
Piemonte;43;28748;29251
Piemonte;44;30113;30534
Piemonte;45;31876;32416
Piemonte;46;33468;33651
Piemonte;47;33591;33410
Piemonte;48;34221;34400
Piemonte;49;34515;35237
Piemonte;50;34203;34799
Piemonte;51;35382;36050
Piemonte;52;35131;35809
Piemonte;53;34983;35868
Piemonte;54;35392;35996
Piemonte;55;35030;35996
Piemonte;56;35312;36628
Piemonte;57;32948;34189
Piemonte;58;31464;33176
Piemonte;59;31050;32729
Piemonte;60;29971;31724
Piemonte;61;29406;30609
Piemonte;62;28368;29977
Piemonte;63;28126;29795
Piemonte;64;27249;29234
Piemonte;65;26688;28612
Piemonte;66;26016;28440
Piemonte;67;25148;27301
Piemonte;68;25088;27123
Piemonte;69;24130;26961
Piemonte;70;24990;28146
Piemonte;71;25200;28220
Piemonte;72;26158;29700
Piemonte;73;25399;28756
Piemonte;74;24281;27990
Piemonte;75;18223;21354
Piemonte;76;19072;22861
Piemonte;77;18274;22866
Piemonte;78;18173;22763
Piemonte;79;17694;22915
Piemonte;80;18708;24708
Piemonte;81;17935;24127
Piemonte;82;16777;22956
Piemonte;83;14480;20566
Piemonte;84;12519;18319
Piemonte;85;11474;17811
Piemonte;86;9704;16199
Piemonte;87;8066;14502
Piemonte;88;7037;13269
Piemonte;89;5928;11946
Piemonte;90;5141;10835
Piemonte;91;3770;8746
Piemonte;92;2768;7066
Piemonte;93;2077;5772
Piemonte;94;1369;4527
Piemonte;95;932;3321
Piemonte;96;657;2465
Piemonte;97;458;1862
Piemonte;98;292;1396
Piemonte;99;152;870
Piemonte;100;186;1098
Piemonte;Totale;2077405;2195805
Valle d'Aosta/Vallée d'Aoste;0;378;398
Valle d'Aosta/Vallée d'Aoste;1;415;418
Valle d'Aosta/Vallée d'Aoste;2;478;413
Valle d'Aosta/Vallée d'Aoste;3;476;420
Valle d'Aosta/Vallée d'Aoste;4;487;450
Valle d'Aosta/Vallée d'Aoste;5;486;476
Valle d'Aosta/Vallée d'Aoste;6;552;504
Valle d'Aosta/Vallée d'Aoste;7;512;512
Valle d'Aosta/Vallée d'Aoste;8;565;546
Valle d'Aosta/Vallée d'Aoste;9;606;575
Valle d'Aosta/Vallée d'Aoste;10;579;580
Valle d'Aosta/Vallée d'Aoste;11;639;578
Valle d'Aosta/Vallée d'Aoste;12;615;581
Valle d'Aosta/Vallée d'Aoste;13;624;582
Valle d'Aosta/Vallée d'Aoste;14;650;580
Valle d'Aosta/Vallée d'Aoste;15;581;559
Valle d'Aosta/Vallée d'Aoste;16;583;593
Valle d'Aosta/Vallée d'Aoste;17;595;592
Valle d'Aosta/Vallée d'Aoste;18;594;520
Valle d'Aosta/Vallée d'Aoste;19;633;554
Valle d'Aosta/Vallée d'Aoste;20;643;599
Valle d'Aosta/Vallée d'Aoste;21;621;572
Valle d'Aosta/Vallée d'Aoste;22;643;573
Valle d'Aosta/Vallée d'Aoste;23;580;564
Valle d'Aosta/Vallée d'Aoste;24;635;585
Valle d'Aosta/Vallée d'Aoste;25;610;559
Valle d'Aosta/Vallée d'Aoste;26;588;565
Valle d'Aosta/Vallée d'Aoste;27;593;563
Valle d'Aosta/Vallée d'Aoste;28;649;596
Valle d'Aosta/Vallée d'Aoste;29;624;578
Valle d'Aosta/Vallée d'Aoste;30;623;636
Valle d'Aosta/Vallée d'Aoste;31;669;588
Valle d'Aosta/Vallée d'Aoste;32;651;628
Valle d'Aosta/Vallée d'Aoste;33;619;633
Valle d'Aosta/Vallée d'Aoste;34;605;645
Valle d'Aosta/Vallée d'Aoste;35;654;651
Valle d'Aosta/Vallée d'Aoste;36;671;648
Valle d'Aosta/Vallée d'Aoste;37;693;678
Valle d'Aosta/Vallée d'Aoste;38;675;725
Valle d'Aosta/Vallée d'Aoste;39;649;669
Valle d'Aosta/Vallée d'Aoste;40;759;677
Valle d'Aosta/Vallée d'Aoste;41;723;700
Valle d'Aosta/Vallée d'Aoste;42;871;837
Valle d'Aosta/Vallée d'Aoste;43;837;821
Valle d'Aosta/Vallée d'Aoste;44;858;916
Valle d'Aosta/Vallée d'Aoste;45;886;953
Valle d'Aosta/Vallée d'Aoste;46;979;969
Valle d'Aosta/Vallée d'Aoste;47;985;1012
Valle d'Aosta/Vallée d'Aoste;48;975;1030
Valle d'Aosta/Vallée d'Aoste;49;1019;1077
Valle d'Aosta/Vallée d'Aoste;50;1011;1049
Valle d'Aosta/Vallée d'Aoste;51;1074;1124
Valle d'Aosta/Vallée d'Aoste;52;1032;1073
Valle d'Aosta/Vallée d'Aoste;53;1056;1105
Valle d'Aosta/Vallée d'Aoste;54;1084;1089
Valle d'Aosta/Vallée d'Aoste;55;1045;1047
Valle d'Aosta/Vallée d'Aoste;56;1131;1115
Valle d'Aosta/Vallée d'Aoste;57;1058;1012
Valle d'Aosta/Vallée d'Aoste;58;928;969
Valle d'Aosta/Vallée d'Aoste;59;984;936
Valle d'Aosta/Vallée d'Aoste;60;840;905
Valle d'Aosta/Vallée d'Aoste;61;900;946
Valle d'Aosta/Vallée d'Aoste;62;802;840
Valle d'Aosta/Vallée d'Aoste;63;810;835
Valle d'Aosta/Vallée d'Aoste;64;787;794
Valle d'Aosta/Vallée d'Aoste;65;743;852
Valle d'Aosta/Vallée d'Aoste;66;756;818
Valle d'Aosta/Vallée d'Aoste;67;779;760
Valle d'Aosta/Vallée d'Aoste;68;734;739
Valle d'Aosta/Vallée d'Aoste;69;727;756
Valle d'Aosta/Vallée d'Aoste;70;717;759
Valle d'Aosta/Vallée d'Aoste;71;728;820
Valle d'Aosta/Vallée d'Aoste;72;738;822
Valle d'Aosta/Vallée d'Aoste;73;724;718
Valle d'Aosta/Vallée d'Aoste;74;638;715
Valle d'Aosta/Vallée d'Aoste;75;470;588
Valle d'Aosta/Vallée d'Aoste;76;545;575
Valle d'Aosta/Vallée d'Aoste;77;539;600
Valle d'Aosta/Vallée d'Aoste;78;530;613
Valle d'Aosta/Vallée d'Aoste;79;489;625
Valle d'Aosta/Vallée d'Aoste;80;503;646
Valle d'Aosta/Vallée d'Aoste;81;446;616
Valle d'Aosta/Vallée d'Aoste;82;437;599
Valle d'Aosta/Vallée d'Aoste;83;367;537
Valle d'Aosta/Vallée d'Aoste;84;294;476
Valle d'Aosta/Vallée d'Aoste;85;267;433
Valle d'Aosta/Vallée d'Aoste;86;212;398
Valle d'Aosta/Vallée d'Aoste;87;197;404
Valle d'Aosta/Vallée d'Aoste;88;168;346
Valle d'Aosta/Vallée d'Aoste;89;144;313
Valle d'Aosta/Vallée d'Aoste;90;141;307
Valle d'Aosta/Vallée d'Aoste;91;107;236
Valle d'Aosta/Vallée d'Aoste;92;77;193
Valle d'Aosta/Vallée d'Aoste;93;51;156
Valle d'Aosta/Vallée d'Aoste;94;34;122
Valle d'Aosta/Vallée d'Aoste;95;34;79
Valle d'Aosta/Vallée d'Aoste;96;15;55
Valle d'Aosta/Vallée d'Aoste;97;10;53
Valle d'Aosta/Vallée d'Aoste;98;8;33
Valle d'Aosta/Vallée d'Aoste;99;5;28
Valle d'Aosta/Vallée d'Aoste;100;6;31
Valle d'Aosta/Vallée d'Aoste;Totale;60557;63338
Lombardia;0;35619;33755
Lombardia;1;37123;35513
Lombardia;2;39153;36903
Lombardia;3;41086;38610
Lombardia;4;42132;40251
Lombardia;5;43842;41234
Lombardia;6;44712;42514
Lombardia;7;45806;43009
Lombardia;8;47323;44607
Lombardia;9;48429;45588
Lombardia;10;50123;46607
Lombardia;11;50778;47888
Lombardia;12;50836;47919
Lombardia;13;50312;47306
Lombardia;14;50671;47410
Lombardia;15;49528;46305
Lombardia;16;49298;46947
Lombardia;17;48892;45479
Lombardia;18;48267;44944
Lombardia;19;49219;45736
Lombardia;20;50713;46379
Lombardia;21;50487;45813
Lombardia;22;51607;45757
Lombardia;23;50811;45990
Lombardia;24;50375;46107
Lombardia;25;49721;46135
Lombardia;26;50045;47042
Lombardia;27;50757;48418
Lombardia;28;52806;50148
Lombardia;29;53054;51044
Lombardia;30;54530;52612
Lombardia;31;54620;53471
Lombardia;32;56523;54555
Lombardia;33;55303;54040
Lombardia;34;55831;54536
Lombardia;35;57477;56506
Lombardia;36;59034;57591
